,Course Code,Course Title,Description,Curriculum Category
28,CSP7305,Advanced Geospatial Topics,"This 3 day course offering,  instructed by ESRI,  is designed to get experienced FWS geospatial practitioners up and running with ESRI’s newestdesktop application - ArcGIS Pro.  Students will become acquainted with the new ribbon interface, render 2D and 3D maps from ESRI’s extensivebase map layers, discover it’s new editing and analysis capabilities. In addition, students will experience how this application integrates with ArcGISOnline. Note - seating is limited to 15 students and restricted to FWS employees only.OBJECTIVES: Access , migrate and share data with ArcGIS Online Import map documents (.mxd) View and manipulate data in 2D and 3D Explore the new ribbon interface and tools Generate multiple map layouts",Geospatial Technologies
29,OUT8068,Planning and Evaluating Education and Outreach Programs,"If you want to demonstrate the value of education and outreach programs, you must implement programs that deliver results. During this course,you’ll learn to use a deliberate planning process that promotes strategic, accountable, and adaptive action resulting in programs that supportachieving resource management goals. “Planning and Evaluating Education and Outreach Programs” is designed to assist U.S. Fish and WildlifeService (Service) employees, and others working with public audiences, use a planning and evaluation model to develop programs that support anorganization’s conservation mission. This process can be used to develop any type of public program, including: environmental education; outdoorskills, interpretive, and citizen science programs; nature camps; internship/YCC programs; and etc. Participants who successfully complete thecourse will take away a nascent plan that can be completed with their stakeholders. How the course works: This course is built on principles of adult learning, using the “authentic task approach”. It is delivered online through anonline classroom (Moodle) and live instructor-led webinars. Participants start, end and progress through the course together and with courseinstructors, and independently complete assignments each week (“homework”*) within each module online through Moodle. For each module thereare three parts, done by participants in the following order: Part 1 – Participants learn the content which is delivered in the Moodle online classroom Part 2 – Participants apply the content to their site by completing assignments in between the webinars Part 3 – Participants and instructors discuss the assignments and application of the content to their situation during the live webinars *Please expect to dedicate three to four hours each week, in addition to the webinars, to complete Parts 1 & 2.OBJECTIVES: Upon completion of this course, you will be able to: • Use the program planning and evaluation model to create programs that support achieving your resource management goals;• Identify the learning and subsequent action outcomes your program will be designed to achieve;• Write measurable outcome objectives;• Select activities to achieve desired outcomes; and• Develop a program evaluation frameworkTARGET AUDIENCE: Service employees and others that develop and deliver environmental education, outdoor skills, outreach, career, and citizen science programs(and etc.) for audiences ages 12 – 25 and/or their families/teachers.",Visitor Services
30,ALC3199,Collaboration and Conflict Transformation in Multi-Party Processes,"Natural resource professionals involved in multi-party collaborative decision processes face increasingly complex decisions where underlying conflict can undermine their efficacy if unknown or inappropriately addressed. Conflict transformation encompasses managing and resolving conflict by harnessing the energy inherent in conflicts to motivate change and improvement not only of the decision but also of the institutions and platforms for implementation. This broadens the temporal perspective to target lasting solutions. Distinct from workplace interpersonal conflict, this course focuses on working with conflict in the context of a collaborative decision process. Presentations, case studies, and discussions will be integrated with practical group exercises to target skill-building in conflict transformation. This course was developed in partnership from staff from USFWS and USACE – IWR.  Course Objectives  At the end of this course, you will be able to: • Become a better conflict manager during a decision-making process. • Develop an awareness of one’s own tendencies in thinking about and responding to conflict. • Design a process that builds trust and repairs broken relationships to promote enduring solutions. • Build greater awareness & acknowledgement of conflict and its impacts on decision-making processes. • Employ techniques to address, manage, and transform conflict in a decision-making process. • Assess the conflict using tools such as the progress triangle, conflict mapping, and narrative analysis. • Evaluate and institutionalize collaborative decision making processes. Target Audience:  Natural resource managers and conservation professionals who engage in collaborative group decision processes.",Decision Analysis
31,CLM8114,Volunteer Recruitment and Management,"O  TVolunteers can play a critical factor in meeting the management objectives of the FWS. Participants in this course learn to develop and maintain strong volunteer and group service programs. Discussion explores the benefits and challenges of working with volunteers. Examples of resident and non-resident volunteer programs throughout the FWS are also discussed. bjectives: • Identify appropriate applications of a volunteer program at your site • Describe strategies for recruiting and maintaining volunteer staff • Determine appropriate methods of training and supervising volunteer staff • Suggest ways of integrating volunteers with paid staff • Discuss incentives and benefits for volunteers • Outline techniques that provide involvement, build morale and promote team building • List examples of group service projects • Discuss the use of internships to meet the objectives of organizational programs arget Audience: Conservation managers with the responsibility of working with volunteer programs.",Visitor Services
32,DOI-SUPV-OLT-103,Supervisory Ethics,"Supervisors are responsible for modeling ethical behavior and providing advice and guidance to employees regarding ethics. This on-line programhas been developed to help ensure supervisors know how to find answers to a variety of ethical dilemmas. The key to this on-line course islearning how to find answers to questions that arise about employee conduct and activities and ensure compliance with Federal regulations. Thiscourse is a prerequisite for the course 'BLM/FWS/NPS Supervisory Skills Workshop' and as such, should be taken before attending that residentialcourse.Objectives: - Understand the basic obligations of public service- Determine the correct course of action when presented with an ethics dilemma- Learn 'ethics terminology'",Leadership and Supervision
33,CSP1101,Conservation Biology of Freshwater Mussels,"This is an introductory course on the biology and ecology of freshwater mussels and the conservation issues facing this highly endangered group of animals. Topics to be covered include anatomy, physiology, life history, health, ecosystem services, mussels as biomonitors, conservation status, population impacts, conservation measures (relocation, propagation, conservation genetics), legal issues (permits and the ESA, Section 7 consultations, critical habitat) and field techniques (survey techniques, sampling techniques, habitat assessment). This course will address key characters for identification of freshwater mussels and will provide opportunities in the laboratory to practice with dichotomous keys, however due to time constraints and the regional nature of mussel assemblages; this is NOT a mussel identification course. Objectives: • recognize the key shell characters used in freshwater mussel identification• identify the internal organs and soft tissue parts of a freshwater mussel• describe suspension feeding, particle sorting, ingestion, digestion and assimilation in freshwater mussels• describe locomotion, circulation, respiration, osmoregulation and excretion in freshwater mussels• describe nervous and reproductive system function in freshwater mussels• describe the life cycle of freshwater mussels• discuss the various strategies used for larval attachment to the host fish• describe the biotic and abiotic interactions that affect freshwater mussel populations• list the ecosystem services that freshwater mussels provide• list the impacts to freshwater mussel populations• describe the conservation measures used to recover freshwater mussel populations• discuss the genetic concerns with freshwater mussel conservation measures• describe techniques for handling, marking, tagging and relocation• discuss the basic steps in freshwater mussel culture, propagation and rearing• identify the legal issues related to freshwater mussel conservation (permits, Section 7 consultations, designation of critical habitat)• compare and contrast survey techniques used in large rivers and wadeable streamsTarget Audience: Biologists who work with freshwater mussels in their daily work but have little or no formal knowledge of their biology, physiology and life history.",Aquatic Species Biology and Conservation
34,ALC3164,Developing Effective Tribal Relationships,"This course provides an overview of the key provisions of the U.S. Fish and Wildlife Service (Service) Native American Policy, emphasizing theroles and responsibilities of Service employees. Participants will gain an understanding of the legal foundations underlying the Service’sresponsibility to tribes, including tribal sovereignty and the federal trust responsibility. In classroom discussions and exercises, participants willexplore how the Service can work with tribes to collaboratively manage natural resources. Objectives: Upon completion of this course, you will be able to:Articulate key provisions of the Service’s Native American Policy;Describe the responsibilities of Service officials under the Policy;Explain the basis of the federal trust relationship and responsibility to tribes;Outline the process to follow when consulting with tribes;Understand how to use the Service’s Tribal Consultation Reporting System;Eliminate barriers and build trust and respect with tribes by developing an awareness of different cultures and communication styles;Understand the limits of keeping shared information with tribes privileged;Identify ways the Service can work with tribes to collaboratively manage natural resources.Target Audience: Service employees whose duties may affect tribal interests, as well as other employees who are interested in understanding the Service’s NativeAmerican Policy and facilitating its implementation.",Conservation Policy
35,CSP7102,GIS Introduction – ArcGIS Pro,"Target Audience: Those new to geospatial technology and those who need a refresher or to get up to speed with the latest software, including biologists, ecologists, planners, and refuge managers. Summary and Objectives: This 3.5-day course is designed to instruct participants on the fundamentals of using Esri's newest desktop program, ArcGIS Pro 2.x. Short presentations on geospatial background topics are followed by targeted, hands-on exercises that include the manipulation of data layers, symbology, rudimentary spatial analysis, data creation, editing, and map sharing through ArcGIS Online. Data derives from the Moosehorn National Wildlife Refuge and exercises are developed around real-world conservation issues commonly encountered within the refuges throughout the country. The course concludes with the creation of a final mapping project using data from Moosehorn NWR.  Upon completion of this course, participants will be able to: Define geographic information systems and ArcGIS Pro 2.x; • Create and manage ArcGIS Pro projects (.aprx); • Describe the capabilities and functionality of ArcGIS Pro 2.x, Toolbox, Catalog, and Layout; • Display, manipulate, create, and organize data layers using ArcGIS Pro 2.x; and • Share maps and data using ArcGIS Online. •",Geospatial Technologies
36,CSP3133,"Restoration Policy, Planning, and Partnering","Target Audience: Anyone interested in planning, designing, or implementing habitat restoration. Summary and Objectives: This course provides restoration practitioners a foundation in restoration policy and planning by covering the federal authorities for restoration; compliance requirements, including the National Environmental Policy Act; general principles of restoration science; and the steps involved in developing a restoration plan within the context of landscape-scale conservation and climate change. Case studies will exemplify building partnerships and other key concepts of the course. Upon completion of this course, participants will be able to: • Describe federal authorities supporting habitat restoration; • Explain fundamental concepts of restoration ecology; • Develop successful partnerships and communicate effectively with partners and stakeholders; • Prepare a framework for a restoration plan, developing alternatives in a landscape context; and • Given a watershed exercise, illustrate the iterative and adaptive nature of restoration planning.",Conservation Policy
37,CSP2221,Macroinvertebrate Ecology and Identification,"The 'Hands-On', field and lab intensive courses covers the ecology of North American freshwater macroinvertebrates as well as sampling andindentififcation techniques. The goal is to develop participant knowledge of macroinvertebrate ecology and identification skills. Each day, ecologicalprinciples will be discurssed in the mroning followed by afternoon collecting execises in local streams and ponds. Collected macroinvertebrates willbe identified to family level (some to genus level) back at the lab. Each participant will form an individual reference collection for her or hiscontinued use after course completion. For a macroinvertebrate key, go to Macroinvertebrate Key Online from NY DEC. Objectives: - Describe common life history strategies of macroinvertebrate taxa;- Describe habits and trophic group types;- Describe macroinvertebrate patterns of avundance based on physical and chemical habitat templates;- Discuss effect of impairment on assemblage composition;- Correctly use a variety of sampling gears;- Use proper collecting, labeling, and preservation techniques; and- Correctly identify unknown specimens by following methods demonstrated in the course.Target Audience:Anyone needing background in macroinvertebrate ecology and identification. For example, biologists interest in using or understandingmacroinvertebrates as a component of aquatic monitoring programs. Preparatory for FIS2320 - Monitoring Aquatic Biota",Aquatic Species Biology and Conservation
38,CLM8132,Community Connections Academy,"This training is designed to develop the community engagement and cultural competency skills of those USFWS employees, volunteers, Friends,and partners at urban field stations.   Participants will be provided with tools, techniques, lessons learned, and support to develop, maintain, andgrow their relationships with urban communities.  OBJECTIVES: Identify at least three new ideas or techniques learned during the Academy to implement the Standards of Excellence and other communityengagement tools. Demonstrate a higher level of cultural competency.Explain how the Urban Wildlife Conservation Program is addressing the mission of the USFWS.List the tools and resources that are available and beneficial to all USFWS field stations.After partaking in plenary and concurrent sessions during the Community Connections Academy, participants will be able to:1. List at least three new tools/resources that are available to them and beneficial to their site2. Adopt/adapt at least one new idea and/or technique for their site to improve implementation of the Standards of Excellence and strengthencommunity engagement3. Demonstrate a higher level of cultural competency4. Explain how the Urban Wildlife Conservation Program is addressing the mission and current priorities of the U.S. Fish & Wildlife Service andpartner organizations5. Share their experiences and best practices on an ongoing basis",Human Dimensions
39,CSP3910,Introduction to Species Status Assessment,"Please disregard the seat total for this class in DOI Talent, all students go to a waitlist until we enroll.  This is an overview of the species status assessment (SSA) framework, which is an analytical approach developed by the U.S. Fish and Wildlife Service to deliver foundational science information for all Endangered Species Act decisions. The overview will cover the basic concepts and minimum requirements of an SSA and will show you how to diagnose the level of complexity and expertise required to complete an SSA. Although the overview won’t cover technical methods in detail, it will introduce the participant to some of the tools and resources available to conduct SSA's with an emphasis on those of low to moderate complexity.  Course Objectives:  Upon completion, the participant will be able to:  Understand where an SSA fits within an Endangered Species Act decision process; Understand the basic concepts and minimum requirements of an SSA; Diagnose the level of complexity and expertise needed to complete an SSA; Know where to find tools and resources to conduct an SSA; Know the additional training and support available to assist with conducting or managing an SSA.  Target Audience:  Fish and Wildlife Service, Endangered Species Act practitioners",Conservation Policy
40,CSP4141,Occupancy Modeling,"This course introduces participants to modeling the patterns and dynamics of species occurrence. Lectures will cover the ecological and statistical theory behind site occupancy modeling, including the importance of accounting for potential biases associated with imperfect detection of species during sampling. The bulk of the course will consist of hands-on exercises using the package “unmarked” in the R Statistical programming language. The course will cover basic skills such as processing and formatting data, study design considerations, fitting single- and multiple- season occupancy models, including relevant occupancy and detection covariates, and interpreting modeling results and parameter estimates. Participants will also learn how modeling results could be used to inform future survey design and management activities.  OBJECTIVES:  Describe the uses and limitations of single and multi-season occupancy models Explain the importance of accounting for imperfect detection when modeling species occurrence Describe the principles of occupancy survey design Fit single and multiple-season occupancy models in R using the package unmarked Interpret parameter estimates from single- and multiple-season models Recognize the uses of occupancy modeling in species management  TARGET AUDIENCE:  Anyone interested in expanding their modeling skillset for the benefit of species conservation.  PREREQUISITES:  Statistical Modeling for Conservation (CSP4210) or the equivalent experience (per approval by the Course Leader), and have a working knowledge of R Statistical programming language.",Statistics and Modeling
41,LED5153,Crucial Conversations Workshop - FWS,"Please be aware that when this course is offered at NCTC, it is always offered back to back with either the 2 day Inspiring Leadership Through Emotional Intelligence course or the 2 day Leading At The Speed Of Trust course. As long as you are on campus attending this 2 day course, it is suggested that you attend a second course as well.  Learn how to create conditions where people speak with complete candor (no matter the topic) and with complete respect (no matter the person). Gain skills that enable spirited dialogue and reduce deference and defiance. Begin stepping up to tough issues and sharing opinions, feelings, and information safely and freely. Learn how to promote the best ideas, save time with fewer meetings and have less disagreement; as you build more alignment with better decisions. This course has been designed to help individuals, teams, leaders and organizations deal effectively with difficult subjects, facilitate open and honest two-way communication and improve unity and conviction among people.  Objectives: • Resolve disagreements through accurately addressing concerns by talking respectively, candidly and skillfully with someone in a safe way. • Build acceptance rather than resistance through giving and receiving feedback in a way that enhances relationships and improves results. • Speak persuasively not abrasively while effectively talking about emotional and controversial topics that have high stakes. • Foster teamwork by getting the right people involved in a way that ensures better decision making and guarantees commitment and conviction. • Through individual assessments, gain greater self awareness as to personal preferences, hot buttons and reactions to various situations. • Describe the importance of exploring other’s perspectives and paths and, with that information, develop a personal strategy to be used in crucial conversations with others in order to increase productivity.  Target Audience: Ideal for supervisors and leaders who have responsibilities to get work accomplished with others. Also, for any employee who wants to improve their two way communication skills as they strive for excellence in the workplace. (Open to FWS employees and Department of Interior employees on a space available basis).",Leadership and Supervision
42,CLM7177,NWRS Conservation Easements,"A significant portion of the wildlife habitat in the continental United States is privately owned. Conservation easements are a valuable tool for protecting working landscapes and habitat values on private land for our trust resources. This one-week course provides an overview of the planning, acquisition, management, and enforcement of conservation easements. Emphasis is on easements the Service acquires as a part of the National Wildlife Refuge System (NWRS). Course goals include increasing consistency, and building understanding and cooperation among Service personnel involved in conservation easements.  OBJECTIVES:  Upon completion of this course, you will be able to:  Determine if a conservation easement is the appropriate tool; Make strategic, science driven, collaborative and adaptive choices; Engage with the potential sellers, the community and potential partners; Acquire conservation easements in accordance with Service policy; Develop and maintain working relationships with landowners/communities; Effectively manage conservation easements and their uses; and Ensure the United States’ interests in the land are protected.  TARGET AUDIENCE:  Project leaders, refuge managers, planners, realty specialists, law enforcement officers and all others who play a role in the planning, acquisition, management and enforcement of NWRS conservation easements.",Refuge Land Policy
43,CSP2102,Migratory Bird Conservation - A Trust Responsibility,"Enacted in 1918, the Migratory Bird Treaty Act (MBTA) is an enduring cornerstone of the nation’s wildlife conservation laws. This course is designed to give participants a working knowledge of the legal and conservation implications of the MBTA, with special attention to the responsibilities of the Fish and Wildlife Service, through all of its programs, for migratory bird conservation. Partnerships, resources and initiatives which address migratory bird conservation will also be discussed in detail, providing participants an excellent overview of how they can further implement migratory bird conservation.  Objectives:  Understand the intent, applicability, and protections of the MBTA; Identify the responsibilities and challenges to the Service and other partners in implementing and enforcing the MBTA and other related bird conservation regulations; Discuss the existing initiatives, resources and partnerships which have been developed to address migratory bird conservation; Determine the applicability of certain MBTA permits or regulations under various field scenarios, and which activities require an MBTA Permit;  Target Audience: Biologists, natural resource professionals and law enforcement personnel responsible for implementing and administering Federal agency actions that have potential for impacting migratory birds.",Conservation Policy
44,CSP4200,Making Sense of Biological Data with R,"Target Audience: Biologists and others with little or no prior experience with R or statistics who need to collect and analyze data for purposes such as impact assessment and biological monitoring.  Summary and Objectives: This course, along with Field Data Management using MS Access (CSP1003), is a foundational course in the toolbox series of courses that build skills in data management, data analysis, monitoring, and species distribution modeling. Two focal points of this class are improving abilities to think like a scientist (e.g., framing questions, choosing appropriate indicators, and following data analysis steps) and gaining a working knowledge of the R software package. Participants will use R for several tasks, including exploratory data analysis, cleaning and restructuring messy data, and hypothesis testing. Other important themes include estimating population parameters with uncertainty (confidence intervals) by formula and bootstrapping, determining what statistical tests are appropriate given the data type and distribution, estimating the power to detect change, and learning the basics of sampling design and types of statistical models. Depending on class needs, the course will conclude with use of either analysis of variance or simple linear regression as a bridge to the next course, Statistical Modeling for Conservation (CSP4210). Upon completion of this course, participants will be able to: •Use R software to manipulate, explore, analyze, and graphically display their field data;•Estimate population quantities (e.g., density and mean wing length) based on data;•Use bootstrapping techniques to resample data sets and create confidence intervals;•Perform hypothesis tests and interpret p-values; and•Explore how sampling effort directly affects the ability to make conclusions from their data.Special Requirements: Participants must be willing to learn quantitative approaches to help guide natural resources management and are encouraged to bring a project or data set to class for one-on-one consultation and for examples that may be integrated into the class.",Statistics and Modeling
45,OUT8103,Integrating Education Standards in Your Education and Outreach Programs,"The goal of this distance learning course is for U.S. Fish & Wildlife Service employees and other conservation professionals to align their education and outreach activities to current education standards and explore other ways of assisting formal and non-formal educators with NGSS/3D Learning and STEM/STEAM. During the course, participants will either adapt an existing education or outreach activity or develop a template to develop a new activity. This distance learning course has three components: An online classroom through Moodle, presentations and instruction via webinars and an Individual project to apply learning.  Objectives: Participants will: • Explain the relevancy of supporting education standards by identifying their site’s resource management goal and audiences’ needs • Use case studies to correlate educational standards with education and outreach activities • Either adapt an existing education or outreach activity or develop a template to develop a new activity (Individual Project – Level 2) • Implement their developed education or outreach activity within 6 to 9 months (Terminal objective – Level 3)  Target Audience: U.S. Fish and Wildlife Service employees and other conservation professionals that would like to align their education and outreach activities to current education standards.",Visitor Services
46,CLM8201,Writing with Clarity,"Target Audience: U.S. Fish and Wildlife Service employees who are responsible for writing technical, regulatory or planning documents. Summary and Objectives:  Write authentically, in a voice that is genuinely you, and that will resonate with your audience. The class meets for 8 weeks once a week for 90 minutes online in a webinar format. Each session is focused on one aspect of the writing process, beginning with the Writer's Triangle, and progressing through the 6 stages of the Writing Cycle from brainstorming through arranging, selecting, writing, revision, and editing. These lessons will be reinforced with weekly exercises completed in a collaborative forum where students can comment on each other's work and receive feedback from the instructor and other students. Each student will have 2 individual 20-minute sessions with the instructor - one at the start of the course to establish strengths, challenges, and goals for the 8 weeks, and one at the end of the course to establish areas of growth, areas of continued challenges, and tasks or resources for ongoing development.",Communications
47,CSP3909,SSA Report Writing Made Easy,"This course will help Species Status Assessment (SSA) teams transition from analyzing the species to writing the report. We expect this course tobenefit both Species Assessment Teams and Field Office team leaders as well as team members, and we anticipate the benefits to be immediateand long term. As teams learn how to transition from the analytical to the report-writing phase, team leaders will learn how to help team memberscapitalize on their strengths to complete the report efficiently and how to build U.S. Fish and Wildlife capacity for future SSA and report-writingwork. The course’s collaborative writing material has implications both for and beyond SSAs, helping teams identify and set objectives forthemselves as individuals and working groups as well as for species conservation broadly speaking. By introducing report-writing teams to thePrompt Book, the course also helps writers understand the objectives of the SSA report and briefly overviews some of the more important toolsavailable to help teams accomplish these. Specifically, the course focuses on the most important of these objectives: creating a document with aclear logical chain that remains focused on species viability. Objectives: * Identify when the team is ready to move from analysis to writing.* Implement the collaborative writing process and adopt the team roles that are best suited to the project and the personnel.* Establish the SSA team’s report-writing objectives.* Identify team-writing pitfalls and have a strategy for resolving them.* Identify the SSA report’s objectives and know how to access tools and resources to achieve them.* Create a document with a clear logical chain that is focused on species viability.Target Audience: a) Teams who are transitioning from the SSA analytical phase to the report-writing phase should take this training as a team and complete the teamquestionnaires in preparation for writing the report.b) SAT project managers should take this training and be prepared to lead their teams through questionnaire completion.c) Field office managers should take this training to understand workload assignments and expectations when field staff are working on SSAteams.",Conservation Policy
48,OUT8067,Citizen Science for Educators and Scientists,"This course provides an overview of citizen science as it may apply to the Fish and Wildlife Service to enhance strategic habitat conservation. Participants will learn how citizen science, also known as public participation in scientific research (PPSR), is used in the FWS, and the benefits itprovides to both education and science programs. The course also addresses some barriers to citizen science faced by both educators andscientists, and existing programs and projects available for use by FWS employees.  Participants will have the opportunity to design and plan acitizen program appropriate for their site.Participants must attend all sessions. The last webinar session will be designated for participants to present their implementation plan that willidentify citizen science projects that can be offered in their communities. Objectives:1. Define citizen science in context of FWS needs.2.Identify successful case studies in each of four different geographic regions and three different programs in the FWS.3. Name and know how to engage at least four nationally available citizen science programs such as: Bioblitz, FieldScope, Project Budburst,etc.4. Develop a site-specific implementation and evaluation plan for a citizen science program which addresses scientists research needs,learning requirements, and classroom constraints, to engage students in authentic science.Target Audience: Conservation professionals or aspiring conservation professionals interested in engaging youth, ages 16 – 25, in implementingpublic participation in scientific research programs and projects at their site to further dual goals of conservation science and conservationeducation.",Visitor Services
49,CSP7089,Innovative Approaches to Wildlife/Highway Interactions,"Objectives: After completing the online video lesson and study guide, you will be able to: Define how highways interact with wildlife, including impacts.List the types of structures that reduce wildlife impacts from highways.Describe the role of interdisciplinary networking and partnerships important to the highway project planning process related towildlife structures.Target Audience: FWS, NPS, BLM & all natural resource professionals and engineers seeking highway planning and constructionapproaches.  How to complete this training: Step 1: View the video training and study guide here https://nctc.fws.gov/courses/csp/csp7089/index.html Step 2: Enroll in this course and self-certify that you have completed the training.Primary Contact: Jim Siegel; jim_siegel@fws.gov; 304.876.7479",Habitat Assessment Restoration and Management
50,DOI-SUPV-OLT-102,Merit System Principles,"This course is intended for DOI supervisors and others who require a non-technical exposure to the Merit System Principles and ProhibitedPractices. It is appropriate for those who have limited or no experience with the subject matter, as well as for those who need a review. If you needmore detailed information, please contact your Servicing Personnel Office.This course is a prerequisite for the instructor-led course “BLM/FWS/NPS Supervisory Skills Workshop” for new supervisors, meaning you MUSTcomplete it before attending that course.Before you start this course, be sure to check your browser settings with those required for using DOI Learn. Click here to view the WorkstationRequirements document for the specific required settings.Keyword: DOI-SUPV-OLT-102",Leadership and Supervision
51,ALC3196,Decision Analysis for Climate Change,"Natural resource managers are increasingly tasked with understanding climate change impacts and using this knowledge in making decisions. Yet the uncertainty inherent in evaluating climate impacts often impedes action. This online course provides participants with skills to address climate change impacts in making decisions about natural resource management. It highlights principles from Informing Decisions in a Changing Climate (2009) National Research Council report. Videos show techniques in structured decision making and adaptive management, and discuss how climate change affects each step in the processes. Participants work in teams on actual decision problems. As the teams use similar techniques on their different decision problems, participants observe multiple examples of on the ground application. Instructors work with teams to build expertise in climate change impacts and decision analysis. Teams develop a final report and presentation on their decision problem. This course and the entire Structured Decision Making curriculum at NCTC are developed in partnership with staff from USGS. Objectives: • Understand how to frame choices to effectively integrate climate change concerns• Engage with a team on a real-life decision addressing climate impacts• Articulate the concept of stationarity and appreciate the significance of its absence in planning to address climate change• Learn how to classify and incorporate different types of uncertainty about system change• Compare modes of learning about system change and understand when and how to use different approaches• Structure a climate change adaptation decision using adaptive management",Decision Analysis
52,CSP7205,Creating Maps that Work,"Target Audience: Anyone who desires to communicate effectively through maps  Summary and Objectives: Maps can be a concise and powerful means of communicating. Mastering a few fundamental design concepts will enable you to create maps that both communicate effectively and are aesthetically pleasing. This intermediate course provides an overview of key cartographic design principles, including map elements, color, symbology, typography, organization and composition.  The course features a combination of video lectures on cartography fundamentals, in-person demonstrations of key cartographic tools and design tips, and hands-on exercises performed using ArcGIS Pro. Each day you will apply your new-found knowledge by creating map projects and engage in peer review sessions, during which constructive critique will be exchanged, providing valuable feedback for improvement.  Upon completion of this course, participants will be able to:  Identify what makes an effective map • Identify the best map type/design for your project • Apply key cartographic design principles to create maps • Implement tools and techniques using ArcGIS Pro • Improve your map compositions through constructive feedback • Use ArcGIS Online to share maps and create Story Maps •",Geospatial Technologies
53,CSP3122,Heat Stress,"Heat stress management is an important topic for all to become familiar, especially when working in an extreme temperature environment. Thiscourse is designed to give students the information they need to safely and successfully function within a hot and humid setting. Non DOI Studentscan access the course in any browser. To access the content directly, copy and paste this link:https://nctc.fws.gov/courses/csp/csp3122/content/story_html5.htmlNOTE: DOI employees should register for and take the course in DOI Learn to earn credit.",Safety and Emergency Response
54,CSP2101,Applied Landscape-Scale Conservation Biology,"This course provides students with a foundation in the principles of Conservation Biology and Landscape Ecology needed for designing sustainablelandscapes. Students will learn how to apply these principles at the landscape scale and within a Strategic Habitat Conservation framework. Withinthe context of landscape conservation and climate change, the course entails a variety of exercises covering species diversity, genetic drift,effective population size, demographic and environmental stochasticity, single population and meta-population viability analyses, habitatfragmentation and connectivity.  Who Should Attend: This class is designed for anyone who wants a core understanding of Conservation Biology and Landscape Ecology andtheir application to conservation planning.  Length: 4.5 days/36 hours. College Credit: 2 semester hours. After completing this course, participants become eligible for CSP2104 –Conservation Biology - Independent Study (1 credit hour). Instructor: Dr. Curt Griffin, Professor of Wildlife Ecology, University of Massachusetts, Amherst, MA Objectives: By the end of the training, the participant will be able to: • Understand the principles of Conservation Biology and Landscape Ecology and their application to conservation planning• Develop measurable biological objectives and monitoring programs for adaptive management• Conduct viability analyses for single populations and meta-populations• Understand implications of habitat fragmentation, such as edge effects, connectivity, patch dynamics• Learn to set priorities for designing sustainable landscapes and conservation planning",Wildlife Biology and Field Techniques
55,BLM-TC-1430-53/FWS/NPS-SUPSKILLS,BLM/FWS/NPS Supervisory Skills Workshop,"Special Requirements: You must complete 8 online training courses prior to attending the training. This is extremely important and the success of your class learning team will be affected if you have not completed them. If you have already completed them, do not attempt a retake; you can, however, review the material. Course Name Course Code The Role of the Supervisor .............................. DOI-SUPV-OLT-101 Merit  System Principles....................................DOI-SUPV-OLT-102 Supervisory  Ethics ............................................DOI-SUPV-OLT-103 Managing Employee Performance ................DOI-SUPV-OLT-105 Conduct & Performance Based Actions........DOI-SUPV-OLT-106 Leveraging  Diversity .........................................DOI-SUPV-OLT-107 Pay and Leave for Supervisors ......................DOI-SUPV-OLT-109 Supervisory Safety Skills…...………………...DOI-SUPV-OLT-110 Safety for Supervisors (FWS) .......................... OLT0007 For FWS new supervisors, Supervisory Safety Skills DOI-SUPV-OLT-110 does NOT satisfy the current requirement for FWS new supervisors relating to safety. Instead, Safety For Supervisors (FWS) OLT0007 is required for all new supervisors in FWS.  These modules can be found by course name or course number in the DOI Talent catalog search for field. The modules can be taken in any order. **Special Note for the 8 pre-work modules, if you are having difficulty viewing any of the modules, try and open in Internet Explorer. How to Register: Enrollment for BLM and NPS employees is by nomination. For information on being nominated please contact: BLM: Toni Suminski, tsuminsk@blm.gov NPS: Katherine Callaway, 202.354.1403 FWS employees should register directly in DOI Talent. The employee will be automatically placed on the waitlist and enrolled first come, first served based on the number of seats allotted to FWS.",Leadership and Supervision
56,SAF4RM2,MOCC - River Module,"NOTE: The US Fish and Wildlife Service’s MOCC-River Module is scheduled through the Regional Watercraft Safety Coordinators. Please follow the link to view the class dates/locations and the contact person for your region. DO NOT SUBMIT AN APPLICATION THROUGH DOI LEARN FOR THIS COURSE. The River Module (sometimes referred to as the “Moving Water Module”) is an optional module that continues the progression of information and practical experience gained from the MOCC, and on the job, into an environment where additional knowledge and skills are required to safely operate vessels due to forces caused by moving water. The River Module will only cover motorized watercraft. Since moving water conditions vary widely, River Modules are tailored to the conditions wherein the course is conducted. Course duration is increased when conditions merit (e.g., higher gradient on complex rivers).  Objectives: - Understand moving water and how it affects watercraft;- Gain familiarity with watercraft designed for use in moving water, their applications, and maintenance requirements;- Determine if a section of moving water is safe to run;- Understand safety factors to consider when operating watercraft in moving water;- Avoid common problems encountered on moving water, and practice how to deal with them if not avoided; and- Perform common maneuvers in watercraft on moving water.",Safety and Emergency Response
57,ALC3158,Conservation Coaches Network Workshop,This will be a four and a half day course delivered by the Conservation Coaches Network on the practice of Open Standards. TARGET AUDIENCE:The course is open to any organization with six spots held for FWS employees.,Decision Analysis
