Competency Title,Notation,Competency Definition,,,,
Nuclear Engineering,,"Knowledge of the concepts, principles, theories, and application of nuclear technologies including research, development, construction, operation, testing, and maintenance of nuclear reactors, radiation generating devices, and associated systems and equipment.",,,,
Nuclear Physics,,"Knowledge of the concepts, principles, theories, and methods related to the prediction of nuclear interactions and reactions, including practices and methods used to produce, measure, use, or observe such reactions in stars, nuclear weapons systems, and radiation shielding.",,,,
Object Technology,,"Knowledge of the principles, methods, tools, and techniques that use object-oriented languages, analysis, and design methodologies.",,,,
Operating Systems,,"Knowledge of computer network, desktop, and mainframe operating systems and their applications.",,,,
Operations,,"Knowledge of engineering or physical science disciplines to support space flight operations, training or planning; serving as an astronaut or mission specialist.",,,,
Operations Support,,"Knowledge of procedures to ensure production or delivery of products and services, including tools and mechanisms for distributing new or enhanced software.",,,,
Oral Communication (*),(*),"Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately.",,,,
Oral Communication (‡),(‡),Makes clear and convincing oral presentations. Listens effectively, clarifies information as needed.,,,
Organizational Awareness,,"Knows the organization's mission and functions, and how its social, political, and technological systems work and operates effectively within them; this includes the programs, policies, procedures, rules, and regulations of the organization.",,,,
Organizational Development,,"Knowledge of the principles of organizational development and change management theories, and their applications.",,,,
Organizational Performance Analysis,,"Knowledge of the methods, techniques, and tools used to analyze program, organizational, and mission performance; includes methods that deliver key performance information (for example, comparative, trend, diagnostic, root cause, predictive) used to inform decisions, actions, communications, and accountability systems.",,,,
Painting,,"Knowledge of materials, methods, and appropriate tools to apply paint and other protective coating materials on drywall, wood, metal, glass, and other surfaces.",,,,
Partnering,,Develops networks and builds alliances, collaborates across boundaries to build strategic relationships and achieve common goals.,,,
Pathology,,"Knowledge of the concepts, principles, and theories of plant, insect, or animal diseases and host/pathogen relationships, including effects on natural and managed ecosystems.",,,,
Perceptual Speed,,"Quickly and accurately sees detail in words, numbers, pictures, and graphs.",,,,
Performance Management,,"Knowledge of performance management concepts, principles, and practices related to planning, monitoring, rating, and rewarding employee performance.",,,,
Performance Measurement,,"Knowledge of the principles and methods for evaluating program or organizational performance using financial and nonfinancial measures, including identification of evaluation factors (for example, workload, personnel requirements), metrics, and outcomes.",,,,
Peripheral Vision,,Sees objects or movement of objects to one’s side when the eyes are focused forward.,,,,
Personnel and Human Resources,,"Knowledge of hiring, classification, benefits, labor relations, negotiation, and Federal, state, and local employment regulations.",,,,
Personnel Security and Safety,,"Knowledge of methods and controls of personnel, public safety, and security operations; investigation and inspection techniques; or rules, regulations, precautions, and prevention techniques for the protection of people, data, or property.",,,,
Pest Control,,"Knowledge of pest species and the methods and materials, including chemicals, for control or prevention.",,,,
Petroleum Engineering,,"Knowledge of the concepts, principles, theories, and methods related to the exploration, development, extraction, recovery, processing, and conservation of fluid minerals, geothermal resources, organic compounds, or natural gas resources.",,,,
Philosophy,,"Knowledge of different philosophical systems, including their basic principles, values, ethics, ways of  thinking, customs, religions, and practices, and their impact on human culture.",,,,
Physical Security,,"Knowledge of methods and controls to protect an organization from natural or man-made threats to physical locations where information systems equipment is located or work is performed (for example, computer rooms, work locations, and equipment rooms).",,,,
Physical Strength,,"Exerts maximum muscle force to lift, push, pull, or carry objects; performs moderately laboring work.",,,,
Physical Strength and Agility,,"Ability to bend, lift, climb, stand, and walk for long periods of time; ability to perform moderately heavy laboring work.",,,,
Physics,,"Knowledge and prediction of physical principles, laws, and applications including air, water, material dynamics, light, atomic principles, heat, electric theory, earth formations, and meteorological and related natural phenomena.",,,,
Physical Sciences,,"Knowledge of the concepts, principles, theories, and methods to investigate and apply the relations between space, time, matter, and energy in the areas of gravity, atomic principles, mechanics, heat, light, sound, electricity, magnetism, and related natural phenomena.",,,,
Planning and Evaluating,,"Organizes work, sets priorities, and determines resource requirements; determines short- or long-term goals and strategies to achieve them; coordinates with other organizations or parts of the organization to accomplish goals; monitors progress and evaluates outcomes.",,,,
Plumbing and Pipefitting,,"Knowledge of materials, methods, and the appropriate tools to install, maintain, or repair pipelines, pipe systems, and fixtures, including water, air, steam, gas, chemicals, or sewage.",,,,
Political Savvy,,Identifies the internal and external politics that impact the work of the organization. Perceives organizational and political reality and acts accordingly.,,,,
Principles of Accounting,,"Knowledge of generally accepted accounting principles, standards, and practices (for example, double entry accounting, accrual accounting), including the full accounting cycle and the preparation of work sheets, financial statements, ledgers, and journals.",,,,
Principles of Finance,,"Knowledge of the basic principles, practices, and methods of financial management to include requisitions, apportionments, allotments, investments, fiscal management, activity reporting, and fiscal year guidelines.",,,,
Problem Solving (*),(*),"Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations.",,,,
Problem Solving (‡),(‡),Identifies and analyzes problems, weighs relevance and accuracy of information, generates and evaluates alternative solutions, makes recommendations.,
Process Control,,"Knowledge of the principles, methods, and procedures used for the automated control of a process, including the design, development, and maintenance of associated software, hardware, and systems.",,,,
Product Evaluation,,Knowledge of methods for researching and analyzing external products to determine their potential for meeting organizational standards and business needs.,,,,
Production and Processing,,"Knowledge of inputs, outputs, raw materials, waste, quality control, costs, maintaining inventory, and techniques for maximizing the manufacture and distribution of goods.",,,,
Project Management,,"Knowledge of the principles, methods, or tools for developing, scheduling, coordinating, and managing projects and resources, including monitoring and inspecting costs, work, and contractor performance.",,,,
Propulsion and Power,,"Knowledge of the concepts, principles, and theories of liquid, solid, electrical, chemical, electrochemical, or nuclear propulsion and power generation systems, their component parts and subsystems, and the direct and indirect conversion of energy into power for various applications.",,,,
Psychology,,"Knowledge of the concepts, principles, and theories of human behavior and performance in various contexts, mental processes, or the assessment and treatment of behavioral and affective disorders.",,,,
Public Planning,,"Knowledge of functions, principles, methods, and techniques of public planning, including those related to community planning, outdoor recreation planning, and natural resource management, such as demand forecasting, environmental impact analysis, financial forecasting, and land use planning and zoning.",,,,
Public Safety and Security,,"Knowledge of military, weaponry, and intelligence operations; public safety and security operations; occupational health and safety; investigation and inspection techniques; or rules, regulations, precautions, and prevention techniques for the protection of people, data, and property.",,,,
Public Service Motivation,,Shows a commitment to serve the public. Ensures that actions meet public needs, aligns organizational objectives and practices with public interests.,,,
Quality Assurance,,"Knowledge of the principles, methods, and tools of quality assurance and quality control used to ensure a product fulfills functional requirements and standards.",,,,
Quality Management,,"Knowledge of the principles, methods, and tools of quality assurance, quality control, and reliability used to ensure that a project, system, or product fulfills requirements and standards.",,,,
Rangeland Management,,"Knowledge of the concepts, principles, and theories of non-forested or forested land ecosystems, including rangeland use, management, and monitoring; conducting inventories; and the role of disturbances in rangeland ecosystems.",,,,
Reading (*),(*),"Understands and interprets written material, including technical material, rules, regulations, instructions, reports, charts, graphs, or tables; applies what is learned from written material to specific situations.",,,,
Reading (†),(†),"Understands and interprets written material, including technical materials, rules, regulations, instructions, reports, charts, graphs, or tables; applies what is learned from written material to specific situations.",,,,
Reading Comprehension,,"Understands and interprets written material, including technical material, rules, regulations, instructions, reports, charts, graphs, or tables; applies what is learned from written material to specific situations.",,,,
Real Estate,,"Knowledge of real estate principles, practices, markets, and values.",,,,
Reasoning,,"Identifies rules, principles, or relationships that explain facts, data, or other information; analyzes information and makes correct inferences or draws accurate conclusions.",,,,
Recruitment/Placement,,"Knowledge of HR concepts, principles, and practices related to identifying, attracting, and selecting individuals and placing them into positions to address changing organizational needs.",,,,
Remote Sensing,,"Knowledge of the concepts, principles, theories, and methods necessary to obtain, use, and interpret data from remote sensing sources, including aircrafts and satellites.",,,,
Requirements Analysis,,"Knowledge of the principles and methods to identify, analyze, specify, design, and manage functional and infrastructure requirements; includes translating functional requirements into technical requirements used for logical design or presenting alternative technologies or approaches.",,,,
Research,,"Knowledge of the scientific principles, methods, and processes used to conduct a systematic and objective inquiry; including study design, collection, analysis, and interpretation of data; and the reporting of results.",,,,
Resilience,,"Deals effectively with pressure; remains optimistic and persistent, even under adversity. Recovers quickly from setbacks.",,,,
Restraint and Self-defense,,"Knowledge of techniques and methods used to restrain hostile individuals, including the models and guidelines on appropriate level and nature of force for self-defense.",,,,
Risk Management,,"Knowledge of the principles, methods, and tools used for risk assessment and mitigation, including assessment of failures and their consequences.",,,,
Road Work and Pavement,,"Knowledge of materials, methods, and appropriate tools to construct, maintain, or repair road surfaces, including sidewalks, parking lots, runways, etc.",,,,
Safety Engineering,,"Knowledge of the concepts, principles, theories, and methods to identify, control, mitigate, and eliminate safety hazards in the design and use of facilities, equipment, operations, and work processes.",,,,
Sales and Marketing,,"Knowledge of showing, promoting, and selling products and services.",,,,
Search,,"Knowledge of the laws, principles and methods of conducting searches on personal property such as vehicles, documents, buildings, and items.",,,,
Security,,"Knowledge of the laws, regulations, and guidelines related to securing personnel, facilities, and information, including the requirements for handling, transporting, and protecting classified information and proper reporting of security incidents.",,,,
Seizure,,"Knowledge of the laws, regulations, and procedures for property seizure, including chain of custody requirements and procedures to catalog and secure seized property.",,,,
Self-Esteem (*),(*),Believes in own self-worth, maintains a positive view of self and displays a professional image.,,,
Self-Esteem (†),(†),"Believes in own self-worth; maintains a positive view of self and displays a confident, capable image.",,,,
Self-Management,,"Sets well-defined and realistic personal goals; displays a high level of initiative, effort, and commitment towards completing assignments in a timely manner; works with minimal supervision; is motivated to achieve; demonstrates responsible behavior.",,,,
Sociology and Anthropology,,"Knowledge of the concepts, principles, and theories of group behavior and dynamics; societal trends and influences; and cultures, their history, migrations, ethnicity, and origins.",,,,
Software Development,,"Knowledge of the principles, methods, and tools for designing, developing, and testing software in a given environment.",,,,
Software Engineering,,"Knowledge of software engineering design and development methodologies, paradigms, and tools; the software life cycle; software reusability; and software reliability metrics.",,,,
Software Testing and Evaluation,,"Knowledge of the principles, methods, and tools for analyzing and developing software test and evaluation procedures.",,,,
Soil Science,,"Knowledge of the concepts, principles, or theories of soil composition, formation, classification, mapping, testing, and management, including erosion, pollution, conservation, and watershed management.",,,,
Space Science,,Knowledge of physical science and engineering necessary to conduct research or study the solar system and beyond.,,,,
Spatial Orientation,,"Knows one's location in relation to the environment; determines where other objects are in relation to one's self (for example, when using a map).",,,,
Speaking,,Uses correct English grammar to organize and communicate ideas in words that are appropriate to listeners and situations, uses body language appropriately.,,,
Stakeholder Management,,"Knowledge of the concepts, practices, and techniques used to identify, engage, influence, and monitor relationships with individuals and groups connected to a work effort; including those actively involved, those who exert influence over the process and its results, and those who have a vested interest in the outcome (positive or negative).",,,,
Stamina (*),(*),Exerts oneself physically over long periods of time without tiring (which may include performing repetitive tasks such as data entry or coding).,,,,
Stamina (†),(†),Exerts oneself physically over long periods of time without tiring (which may include performing repetitive tasks such as hammering or lifting objects).,,,,
Standards,,Knowledge of standards that either are compliant with or derived from established standards or guidelines.,,,,
Strategic Thinking (‡),(‡),"Formulates objectives and priorities, and implements plans consistent with the long-term interests of the organization in a global environment.  Capitalizes on opportunities and manages risks.",,,,
Strategic Thinking (*),(*),Formulates effective strategies consistent with the business and competitive strategy of the organization in a global economy. Examines policy issues and strategic planning with a long-term perspective. Determines objectives and sets priorities, anticipates potential threats or opportunities.,,,
Stress Tolerance,,"Deals calmly and effectively with high stress situations (for example, tight deadlines, hostile individuals, emergency situations, dangerous situations).",,,,
Structural Engineering,,"Knowledge of the concepts, principles, theories, and methods related to the design and analysis of complex structures using a variety of materials. Structures may include aerospace systems or structures, and other determinate or indeterminate systems.",,,,
Surveillance,,"Knowledge of surveillance and counter-surveillance techniques, policies, and laws, including overt and covert methods and electronic, optical, and video surveillance methods and tools.",,,,
Surveying,,"Knowledge of the concepts, principles, theories, and methods used in the measurement or determination of land boundaries, distances, elevations, areas, angles, and other features of the earth’s surface.",,,,
Systems Engineering,,Knowledge of the practice of integrating multiple disciplines into a team as part of a structured development process throughout a system's life cycle.,,,,
Systems Integration,,"Knowledge of the principles, methods, and procedures for installing, integrating, and optimizing information systems components.",,,,
Systems Life Cycle,,"Knowledge of systems life cycle management concepts used to plan, develop, implement, operate, and maintain information systems.",,,,
Systems Testing and Evaluation,,"Knowledge of principles, methods, and tools for analyzing and developing systems testing and evaluation procedures and technical characteristics of IT systems, including identifying critical operational issues.",,,,
Tax Law,,"Knowledge of accounting and tax law for individuals, sole proprietorships, partnerships, and corporations.",,,,
Teaches Others,,Helps others learn, identifies training needs, provides constructive reinforcement, coaches others on how to perform tasks, acts as a mentor.
Teaching Others,,Helps others learn through formal or informal methods, identifies training needs, provides constructive feedback, coaches others on how to perform tasks, acts as a mentor.
Team Building,,"Inspires and fosters team commitment, spirit, pride, and trust. Facilitates cooperation and motivates team members to accomplish group goals.",,,,
Teamwork,,"Encourages and facilitates cooperation, pride, trust, and group identity; fosters commitment and team spirit; works with others to achieve goals.",,,,
Technical Competence,,"Uses knowledge that is acquired through formal training or extensive on-the-job experience to perform one's job; works with, understands, and evaluates technical information related to the job; advises others on technical issues.",,,,
Technical Credibility,,"Understands and appropriately applies principles, procedures, requirements, regulations, and policies related to specialized expertise.",,,,
Technical Documentation,,Knowledge of procedures for developing technical and operational support documentation.,,,,
Technical Problem Solving,,"Troubleshoots, diagnoses, analyzes, and identifies system malfunctions to determine the source and cause of the problem.",,,,
Technology Application,,"Uses machines, tools, instruments, or equipment effectively; uses computers and computer applications to analyze and communicate information in the appropriate format.",,,,
Technology Awareness,,"Knowledge of developments and new applications of information technology (hardware, software, telecommunications), emerging technologies and their applications to business processes, and applications and implementation of information systems to meet organizational requirements.",,,,
Technology Management,,Keeps up-to-date on technological developments.  Makes effective use of technology to achieve results.  Ensures access to and security of technology systems.,,,,
Telecommunications,,"Knowledge of the concepts, principles, and theories of transmissions, broadcasting, switching, control, construction, or operation of telecommunications systems.",,,,
Textiles,,"Knowledge of materials, methods, and appropriate tools to make and repair items made of fabric or leather.",,,,
Therapy and Counseling,,"Knowledge of diagnosis and treatment of physical and mental ailments, and career guidance.",,,,
Toolmaking,,"Knowledge of materials, methods, and appropriate tools to make or repair metal parts, tools, gauges, models,  patterns, and machines.",,,,
Transportation,,"Knowledge of principles and methods for moving people or goods by air, rail, sea, or road, including costs and limits.",,,,
Transportation Engineering,,"Knowledge of the concepts, principles, theories, and methods applicable to planning, designing, and constructing of transportation systems including traffic analysis, signal analysis, highway capacity, pavement design, bridge construction, planning of transportation projects, environmental analysis of transportation facilities, and transportation network analysis.",,,,
Vehicle Maintenance,,"Knowledge of motor vehicle engines, parts, and systems, including their designs, uses, repair, and maintenance.",,,,
Vehicle Operation,,"Knowledge of procedures for operating motor vehicles, including cars, trucks, or watercraft.",,,,
Vision (*),(*),Understands where the organization is headed and how to make a contribution, takes a long-term view and recognizes opportunities to help the organization accomplish its objectives or move toward the vision.,,,
Vision (‡),(‡),Takes a long-term view and builds a shared vision with others, acts as a catalyst for organizational change.  Influences others to translate vision into action.,,,
Visual Color Discrimination,,"Accurately matches or detects differences among colors, including shades of color and brightness.",,,,
Visual Identification,,"Accurately identifies people, animals, or objects based on knowledge of their characteristics.",,,,
Vulnerabilities Assessment,,"Knowledge of the principles, methods, and tools for assessing vulnerabilities, and developing or recommending appropriate mitigation countermeasures.",,,,
Web Technology,,"Knowledge of the principles and methods of web technologies, tools, and delivery systems, including web security, privacy policy practices, and user interface issues.",,,,
Wildlife Biology,,"Knowledge of the concepts, principles, and theories of wildlife, including classification, taxonomy, population dynamics, distribution, habitat requirements, life histories, reproduction, behaviors, conservation, and care of wildlife.",,,,
Workforce Planning,,"Knowledge of HR concepts, principles, and practices related to determining workload projections and current and future competency gaps to align human capital with organizational goals.",,,,
Writing (*),(*),"Recognizes or uses correct English grammar, punctuation, and spelling; communicates information (for example, facts, ideas, or messages) in a succinct and organized manner; produces written information, which may include technical material, that is appropriate for the intended audience.",,,,
Writing (†),(†),"Recognizes or uses correct English grammar, punctuation, and spelling; communicates information (for example, facts, ideas, or messages) in a brief, clear, and organized manner; produces written information, which may include technical material, that is appropriate for the intended audience.",,,,
Written Communication,,"Writes in a clear, concise, organized, and convincing manner for the intended audience.",,,,
